"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","n_data_points","pval","sig"
"1","Acadian redfish","Gulf of Maine / Georges Bank",1977,13216,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Fall",839.262409153605,39,0.100973137391554,FALSE
"2","Acadian redfish","Gulf of Maine / Georges Bank",1977,13216,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Spring",921.100470679601,39,0.139299127819935,FALSE
"3","Acadian redfish","Gulf of Maine / Georges Bank",1977,13216,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Summer",6302.17002101838,39,0.96204573865097,FALSE
"4","Acadian redfish","Gulf of Maine / Georges Bank",1978,14076,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Fall",1130.8143030591,39,0.100973137391554,FALSE
"5","Acadian redfish","Gulf of Maine / Georges Bank",1978,14076,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Spring",1236.07979109626,39,0.139299127819935,FALSE
"6","Acadian redfish","Gulf of Maine / Georges Bank",1978,14076,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Summer",2062.48842782221,39,0.96204573865097,FALSE
"7","Acadian redfish","Gulf of Maine / Georges Bank",1979,14748,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Fall",224.771033210142,39,0.100973137391554,FALSE
"8","Acadian redfish","Gulf of Maine / Georges Bank",1979,14748,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Spring",761.883221680159,39,0.139299127819935,FALSE
"9","Acadian redfish","Gulf of Maine / Georges Bank",1979,14748,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Summer",2677.17123149988,39,0.96204573865097,FALSE
"10","Acadian redfish","Gulf of Maine / Georges Bank",1980,9897,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Fall",218.677909857979,39,0.100973137391554,FALSE
"11","Acadian redfish","Gulf of Maine / Georges Bank",1980,9897,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Spring",1062.13293424905,39,0.139299127819935,FALSE
"12","Acadian redfish","Gulf of Maine / Georges Bank",1980,9897,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Summer",1512.98131430427,39,0.96204573865097,FALSE
"13","Acadian redfish","Gulf of Maine / Georges Bank",1981,7920,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Fall",108.045829482144,39,0.100973137391554,FALSE
"14","Acadian redfish","Gulf of Maine / Georges Bank",1981,7920,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Spring",1045.93907300895,39,0.139299127819935,FALSE
"15","Acadian redfish","Gulf of Maine / Georges Bank",1981,7920,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Summer",1355.579810158,39,0.96204573865097,FALSE
"16","Acadian redfish","Gulf of Maine / Georges Bank",1982,6907,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Fall",570.070498373802,39,0.100973137391554,FALSE
"17","Acadian redfish","Gulf of Maine / Georges Bank",1982,6907,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Spring",868.969619614024,39,0.139299127819935,FALSE
"18","Acadian redfish","Gulf of Maine / Georges Bank",1982,6907,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Summer",924.89466429482,39,0.96204573865097,FALSE
"19","Acadian redfish","Gulf of Maine / Georges Bank",1983,5330,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Fall",214.468193345847,39,0.100973137391554,FALSE
"20","Acadian redfish","Gulf of Maine / Georges Bank",1983,5330,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Spring",482.464584098667,39,0.139299127819935,FALSE
"21","Acadian redfish","Gulf of Maine / Georges Bank",1983,5330,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Summer",1142.00802937198,39,0.96204573865097,FALSE
"22","Acadian redfish","Gulf of Maine / Georges Bank",1984,4793,"Catch","Reported Catch - Total (Mean)","Metric Tons",2017,2017,"Catch
Reported Catch - Total (Mean)
Metric Tons","Calanus CV and adult Fall",393.798289444376,39,0.100973137391554,FALSE
