"Year","Month","Var","Value","EPU"
"1954","01","gulf stream index",1.72374595999166,"All"
"1954","02","gulf stream index",1.88613100414862,"All"
"1954","03","gulf stream index",1.54812352467156,"All"
"1954","04","gulf stream index",1.51665538111719,"All"
"1954","05","gulf stream index",1.36922375432066,"All"
"1954","06","gulf stream index",1.76380264057499,"All"
"1954","07","gulf stream index",1.4728120394752,"All"
"1954","08","gulf stream index",-0.27609971695228,"All"
"1954","09","gulf stream index",0.704627710976227,"All"
"1954","1","gulf stream index",0.994900637857211,"All"
"1954","11","gulf stream index",0.336102908708519,"All"
"1954","12","gulf stream index",-0.70544455490256,"All"
"1955","01","gulf stream index",-0.817931110840407,"All"
"1955","02","gulf stream index",-0.635480821678586,"All"
"1955","03","gulf stream index",-0.249039221225324,"All"
"1955","04","gulf stream index",-0.0607510934194295,"All"
"1955","05","gulf stream index",0.103412062240427,"All"
"1955","06","gulf stream index",-0.183163632809362,"All"
"1955","07","gulf stream index",0.366213320206757,"All"
"1955","08","gulf stream index",0.509363092322913,"All"
"1955","09","gulf stream index",0.559285688209476,"All"
"1955","1","gulf stream index",-0.115855586309096,"All"
"1955","11","gulf stream index",-0.353202994884741,"All"
"1955","12","gulf stream index",-0.994450628561378,"All"
"1956","01","gulf stream index",-1.2142227142985,"All"
"1956","02","gulf stream index",-0.69498237308182,"All"
"1956","03","gulf stream index",-0.920262218613101,"All"
"1956","04","gulf stream index",-0.449675699643147,"All"
"1956","05","gulf stream index",-0.909127983995257,"All"
"1956","06","gulf stream index",-0.628351540044756,"All"
"1956","07","gulf stream index",0.564606334341525,"All"
"1956","08","gulf stream index",0.159749997784972,"All"
"1956","09","gulf stream index",0.517852877498531,"All"
"1956","1","gulf stream index",0.198159268982664,"All"
"1956","11","gulf stream index",0.307629562687357,"All"
"1956","12","gulf stream index",0.175107244757699,"All"
"1957","01","gulf stream index",-0.103171407452405,"All"
"1957","02","gulf stream index",-0.00592438762464363,"All"
"1957","03","gulf stream index",1.25557444591151,"All"
"1957","04","gulf stream index",-0.10602152587857,"All"
"1957","05","gulf stream index",-0.280921896378525,"All"
"1957","06","gulf stream index",0.194609238078581,"All"
"1957","07","gulf stream index",0.347891392390899,"All"
"1957","08","gulf stream index",0.30339903313468,"All"
"1957","09","gulf stream index",-0.0842482848232206,"All"
"1957","1","gulf stream index",0.252882403170988,"All"
"1957","11","gulf stream index",0.159649452534789,"All"
"1957","12","gulf stream index",-0.666422833409576,"All"
"1958","01","gulf stream index",-1.44469236623231,"All"
"1958","02","gulf stream index",-0.881802611596379,"All"
"1958","03","gulf stream index",-0.861398201536759,"All"
"1958","04","gulf stream index",-2.1918604253795,"All"
"1958","05","gulf stream index",-1.10426156964512,"All"
"1958","06","gulf stream index",-2.19422207933766,"All"
"1958","07","gulf stream index",-1.63730499229239,"All"
"1958","08","gulf stream index",-0.686110368105196,"All"
"1958","09","gulf stream index",-0.562132044639138,"All"
"1958","1","gulf stream index",-0.993747769354185,"All"
"1958","11","gulf stream index",-0.976972805946621,"All"
"1958","12","gulf stream index",-0.45797480392338,"All"
"1959","01","gulf stream index",-1.42808950186805,"All"
"1959","02","gulf stream index",-1.04738536409281,"All"
"1959","03","gulf stream index",-1.53602826782756,"All"
"1959","04","gulf stream index",-2.2870972301153,"All"
"1959","05","gulf stream index",-1.77043809356223,"All"
"1959","06","gulf stream index",-1.17179269661165,"All"
"1959","07","gulf stream index",-1.65424761154379,"All"
"1959","08","gulf stream index",-1.67248410400053,"All"
"1959","09","gulf stream index",-1.22691062792328,"All"
"1959","1","gulf stream index",-1.69690932124648,"All"
"1959","11","gulf stream index",-0.382411463847796,"All"
"1959","12","gulf stream index",-1.1068512810003,"All"
"1960","01","gulf stream index",-0.81880413323086,"All"
"1960","02","gulf stream index",-0.914501624793611,"All"
"1960","03","gulf stream index",-0.516154084052832,"All"
"1960","04","gulf stream index",-0.941483912005377,"All"
"1960","05","gulf stream index",-0.822397152268015,"All"
"1960","06","gulf stream index",-1.4665574151213,"All"
"1960","07","gulf stream index",-1.54446832747838,"All"
"1960","08","gulf stream index",-1.91816959170081,"All"
"1960","09","gulf stream index",-1.51938926977807,"All"
"1960","1","gulf stream index",-1.4611938888057,"All"
"1960","11","gulf stream index",-2.15940012153533,"All"
"1960","12","gulf stream index",-1.5419017299087,"All"
"1961","01","gulf stream index",-0.764910027106485,"All"
"1961","02","gulf stream index",-0.584153601592507,"All"
"1961","03","gulf stream index",-0.377832528411151,"All"
"1961","04","gulf stream index",-1.47816657855513,"All"
"1961","05","gulf stream index",-1.32357570369629,"All"
"1961","06","gulf stream index",-0.548108242207471,"All"
"1961","07","gulf stream index",-1.38303966643096,"All"
"1961","08","gulf stream index",-0.946412285652641,"All"
"1961","09","gulf stream index",-2.00540525565722,"All"
"1961","1","gulf stream index",-0.642212489176377,"All"
"1961","11","gulf stream index",-0.257227866015911,"All"
"1961","12","gulf stream index",-0.770354639900171,"All"
"1962","01","gulf stream index",0.148469414402165,"All"
"1962","02","gulf stream index",-1.6260997457951,"All"
"1962","03","gulf stream index",-1.16241346992461,"All"
"1962","04","gulf stream index",-1.59222011360364,"All"
"1962","05","gulf stream index",-0.893341919813797,"All"
"1962","06","gulf stream index",-1.00402292004763,"All"
"1962","07","gulf stream index",-1.31171959835904,"All"
"1962","08","gulf stream index",-1.62293210847899,"All"
"1962","09","gulf stream index",-0.490077713089482,"All"
"1962","1","gulf stream index",-0.0421739461296706,"All"
"1962","11","gulf stream index",-2.07580094345499,"All"
"1962","12","gulf stream index",-2.01764619388441,"All"
"1963","01","gulf stream index",-1.78592563194546,"All"
"1963","02","gulf stream index",-1.17889421700503,"All"
"1963","03","gulf stream index",-1.63267955652406,"All"
"1963","04","gulf stream index",-0.922062485880874,"All"
"1963","05","gulf stream index",-1.25628844903054,"All"
"1963","06","gulf stream index",-1.38769593783009,"All"
"1963","07","gulf stream index",-1.16174938239478,"All"
"1963","08","gulf stream index",-0.266607389465155,"All"
"1963","09","gulf stream index",-0.949968533078054,"All"
"1963","1","gulf stream index",-1.42011950591093,"All"
"1963","11","gulf stream index",-1.40104714506429,"All"
"1963","12","gulf stream index",-2.10408232143715,"All"
"1964","01","gulf stream index",-1.81598955978838,"All"
"1964","02","gulf stream index",-2.22600037731778,"All"
"1964","03","gulf stream index",-2.52785649265946,"All"
"1964","04","gulf stream index",-1.58973946788924,"All"
"1964","05","gulf stream index",-2.32845211536332,"All"
"1964","06","gulf stream index",-1.36169871133617,"All"
"1964","07","gulf stream index",-1.40420455728019,"All"
"1964","08","gulf stream index",-1.3982914736962,"All"
"1964","09","gulf stream index",-1.83650996719222,"All"
"1964","1","gulf stream index",-2.02717934959727,"All"
"1964","11","gulf stream index",-2.21912212140156,"All"
"1964","12","gulf stream index",-2.3181742528641,"All"
"1965","01","gulf stream index",-1.57771018924612,"All"
"1965","02","gulf stream index",-1.7373400208618,"All"
"1965","03","gulf stream index",-1.93959472617569,"All"
"1965","04","gulf stream index",-1.21333584872755,"All"
"1965","05","gulf stream index",-0.427779670385425,"All"
"1965","06","gulf stream index",-0.030437316673107,"All"
"1965","07","gulf stream index",0.513929879843572,"All"
"1965","08","gulf stream index",-0.835841197304596,"All"
"1965","09","gulf stream index",-2.10360988202396,"All"
"1965","1","gulf stream index",-2.12994649959435,"All"
